id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
48962,Chicksands,2336,ENG,England,232,GB,"United Kingdom",52.04585000,-0.36390000,Q1522731
48963,Chiddingfold,2336,ENG,England,232,GB,"United Kingdom",51.11866000,-0.62262000,Q1776354
48964,Chigwell,2336,ENG,England,232,GB,"United Kingdom",51.61999000,0.07596000,Q944734
48965,Chilcompton,2336,ENG,England,232,GB,"United Kingdom",51.26391000,-2.50502000,Q2081109
48966,"Child Okeford",2336,ENG,England,232,GB,"United Kingdom",50.91370000,-2.23679000,Q2153905
48967,"Chilton Foliat",2336,ENG,England,232,GB,"United Kingdom",51.43245000,-1.53912000,Q302598
48968,Chilworth,2336,ENG,England,232,GB,"United Kingdom",51.21635000,-0.53129000,Q5099267
48969,Chinley,2336,ENG,England,232,GB,"United Kingdom",53.34025000,-1.93900000,Q2410433
48970,Chinnor,2336,ENG,England,232,GB,"United Kingdom",51.70177000,-0.91161000,Q2344562
48971,Chippenham,2336,ENG,England,232,GB,"United Kingdom",51.46000000,-2.12472000,Q775299
48972,"Chipping Campden",2336,ENG,England,232,GB,"United Kingdom",52.04964000,-1.77670000,Q767811
48973,"Chipping Norton",2336,ENG,England,232,GB,"United Kingdom",51.94109000,-1.54530000,Q1065474
48974,"Chipping Ongar",2336,ENG,England,232,GB,"United Kingdom",51.70379000,0.24548000,Q2069940
48975,"Chipping Sodbury",2336,ENG,England,232,GB,"United Kingdom",51.53813000,-2.39379000,Q666295
48978,Chiseldon,2336,ENG,England,232,GB,"United Kingdom",51.51606000,-1.73206000,Q1922836
48979,Chislehurst,2336,ENG,England,232,GB,"United Kingdom",51.41709000,0.06858000,Q1922836
48980,Chobham,2336,ENG,England,232,GB,"United Kingdom",51.34836000,-0.60639000,Q1986679
48981,Cholsey,2336,ENG,England,232,GB,"United Kingdom",51.57280000,-1.15356000,Q5049410
48982,Choppington,2336,ENG,England,232,GB,"United Kingdom",55.15004000,-1.60332000,Q5104873
48983,Chopwell,2336,ENG,England,232,GB,"United Kingdom",54.91797000,-1.82013000,Q5104893
48984,Chorley,2336,ENG,England,232,GB,"United Kingdom",53.65000000,-2.61667000,Q2078535
48985,Chorleywood,2336,ENG,England,232,GB,"United Kingdom",51.65472000,-0.51404000,Q2335129
48986,Chorlton,2336,ENG,England,232,GB,"United Kingdom",53.05029000,-2.40541000,Q5105176
48987,"Chorlton cum Hardy",2336,ENG,England,232,GB,"United Kingdom",53.43505000,-2.26310000,Q1024118
48988,Christchurch,2336,ENG,England,232,GB,"United Kingdom",50.73583000,-1.78129000,Q925424
48990,Chudleigh,2336,ENG,England,232,GB,"United Kingdom",50.60496000,-3.60031000,Q1218515
48991,"Chudleigh Knighton",2336,ENG,England,232,GB,"United Kingdom",50.58507000,-3.63187000,Q5115914
48992,Chulmleigh,2336,ENG,England,232,GB,"United Kingdom",50.91289000,-3.86938000,Q1218627
48993,Church,2336,ENG,England,232,GB,"United Kingdom",53.75177000,-2.39121000,Q2427568
48994,"Church Fenton",2336,ENG,England,232,GB,"United Kingdom",53.82626000,-1.21890000,Q4412125
48995,"Church Stretton",2336,ENG,England,232,GB,"United Kingdom",52.53778000,-2.80149000,Q867120
48996,Churchdown,2336,ENG,England,232,GB,"United Kingdom",51.87739000,-2.17087000,Q2659033
48997,Churchill,2336,ENG,England,232,GB,"United Kingdom",51.34291000,-2.78338000,Q2126341
48998,Churt,2336,ENG,England,232,GB,"United Kingdom",51.13603000,-0.77534000,Q1790272
48999,Cinderford,2336,ENG,England,232,GB,"United Kingdom",51.82421000,-2.49870000,Q1242795
49000,Cirencester,2336,ENG,England,232,GB,"United Kingdom",51.71927000,-1.97145000,Q852772
49001,"City and Borough of Birmingham",2336,ENG,England,232,GB,"United Kingdom",52.48048000,-1.89823000,Q20986424
49002,"City and Borough of Leeds",2336,ENG,England,232,GB,"United Kingdom",53.79644000,-1.54770000,Q774015
49003,"City and Borough of Salford",2336,ENG,England,232,GB,"United Kingdom",53.50000000,-2.33333000,Q1142118
49004,"City and Borough of Wakefield",2336,ENG,England,232,GB,"United Kingdom",53.68085000,-1.49895000,Q763171
49007,"City of Bristol",2336,ENG,England,232,GB,"United Kingdom",51.45000000,-2.60000000,Q21693433
49009,"City of Kingston upon Hull",2336,ENG,England,232,GB,"United Kingdom",53.75000000,-0.33333000,Q21885987
49010,"City of Leicester",2336,ENG,England,232,GB,"United Kingdom",52.63333000,-1.13333000,Q21683242
49011,"City of London",2336,ENG,England,232,GB,"United Kingdom",51.51279000,-0.09184000,Q23311
49012,"City of Westminster",2336,ENG,England,232,GB,"United Kingdom",51.49750000,-0.13570000,Q23311
49013,"City of York",2336,ENG,England,232,GB,"United Kingdom",53.96396000,-1.09142000,Q20986421
49016,Clacton-on-Sea,2336,ENG,England,232,GB,"United Kingdom",51.78967000,1.15597000,Q985833
49017,Clapham,2336,ENG,England,232,GB,"United Kingdom",52.16085000,-0.49529000,Q1520409
49018,Clarborough,2336,ENG,England,232,GB,"United Kingdom",53.34549000,-0.90382000,Q5126097
49019,Clare,2336,ENG,England,232,GB,"United Kingdom",52.07861000,0.58167000,Q2559341
49021,Claydon,2336,ENG,England,232,GB,"United Kingdom",52.10672000,1.11134000,Q3242544
49022,Claypole,2336,ENG,England,232,GB,"United Kingdom",53.03144000,-0.73407000,Q5130128
49024,"Clayton le Moors",2336,ENG,England,232,GB,"United Kingdom",53.76667000,-2.38333000,Q927181
49023,"Clayton West",2336,ENG,England,232,GB,"United Kingdom",53.59501000,-1.61107000,Q5130366
49025,Clayton-le-Woods,2336,ENG,England,232,GB,"United Kingdom",53.69689000,-2.66818000,Q3243751
49026,"Cleator Moor",2336,ENG,England,232,GB,"United Kingdom",54.52143000,-3.51590000,Q677656
49027,Cleckheaton,2336,ENG,England,232,GB,"United Kingdom",53.72405000,-1.71294000,Q1022447
49028,Cleethorpes,2336,ENG,England,232,GB,"United Kingdom",53.56047000,-0.03225000,Q587765
49030,Clenchwarton,2336,ENG,England,232,GB,"United Kingdom",52.75604000,0.35790000,Q5131603
49031,"Cleobury Mortimer",2336,ENG,England,232,GB,"United Kingdom",52.37853000,-2.48196000,Q2575384
49032,Clerkenwell,2336,ENG,England,232,GB,"United Kingdom",51.52438000,-0.11022000,Q2575384
49033,Clevedon,2336,ENG,England,232,GB,"United Kingdom",51.44227000,-2.85786000,Q670079
49034,Cleveleys,2336,ENG,England,232,GB,"United Kingdom",53.87750000,-3.03987000,Q371507
49035,Cliffe,2336,ENG,England,232,GB,"United Kingdom",51.46224000,0.49833000,Q5132825
49036,Clifton,2336,ENG,England,232,GB,"United Kingdom",52.03990000,-0.30051000,Q1520296
49037,Clitheroe,2336,ENG,England,232,GB,"United Kingdom",53.86667000,-2.40000000,Q1008765
49038,Clive,2336,ENG,England,232,GB,"United Kingdom",52.81335000,-2.72295000,Q2254403
49039,Clophill,2336,ENG,England,232,GB,"United Kingdom",52.02727000,-0.42377000,Q1520109
49040,Clowne,2336,ENG,England,232,GB,"United Kingdom",53.27449000,-1.26406000,Q2471775
49041,Clutton,2336,ENG,England,232,GB,"United Kingdom",51.32944000,-2.54306000,Q2098144
49047,Coalville,2336,ENG,England,232,GB,"United Kingdom",52.72247000,-1.37020000,Q955589
49049,Coates,2336,ENG,England,232,GB,"United Kingdom",51.70750000,-2.03389000,Q5138606
49050,Cobham,2336,ENG,England,232,GB,"United Kingdom",51.32997000,-0.41130000,Q1006990
49052,Cockermouth,2336,ENG,England,232,GB,"United Kingdom",54.66209000,-3.36086000,Q241684
49053,Cockfield,2336,ENG,England,232,GB,"United Kingdom",54.61373000,-1.80897000,Q2104665
49054,Cockington,2336,ENG,England,232,GB,"United Kingdom",50.46335000,-3.55691000,Q5139618
49055,Codicote,2336,ENG,England,232,GB,"United Kingdom",51.85052000,-0.23670000,Q5140287
49056,Codsall,2336,ENG,England,232,GB,"United Kingdom",52.62989000,-2.20148000,Q2313618
49058,Cogenhoe,2336,ENG,England,232,GB,"United Kingdom",52.23758000,-0.78381000,Q5141092
49059,Coggeshall,2336,ENG,England,232,GB,"United Kingdom",51.87077000,0.68536000,Q1013398
49061,Colchester,2336,ENG,England,232,GB,"United Kingdom",51.88921000,0.90421000,Q184163
49062,"Cold Ash",2336,ENG,England,232,GB,"United Kingdom",51.42426000,-1.26463000,Q2182890
49063,"Cold Norton",2336,ENG,England,232,GB,"United Kingdom",51.67209000,0.66997000,Q2458232
49064,"Colden Common",2336,ENG,England,232,GB,"United Kingdom",50.99483000,-1.31143000,Q2020511
49066,Coleford,2336,ENG,England,232,GB,"United Kingdom",51.79535000,-2.61354000,Q747798
49068,Colerne,2336,ENG,England,232,GB,"United Kingdom",51.43833000,-2.26280000,Q2530698
49070,"Collier Row",2336,ENG,England,232,GB,"United Kingdom",51.59893000,0.16600000,Q2530698
49071,"Collingbourne Kingston",2336,ENG,England,232,GB,"United Kingdom",51.30105000,-1.65876000,Q642675
49072,Collingham,2336,ENG,England,232,GB,"United Kingdom",53.91167000,-1.41174000,Q2592080
49073,Colnbrook,2336,ENG,England,232,GB,"United Kingdom",51.48384000,-0.52142000,Q1846916
49074,Colne,2336,ENG,England,232,GB,"United Kingdom",53.85713000,-2.16851000,Q2374484
49075,Colsterworth,2336,ENG,England,232,GB,"United Kingdom",52.80660000,-0.62056000,Q2224325
49076,Coltishall,2336,ENG,England,232,GB,"United Kingdom",52.72804000,1.36653000,Q1009661
49077,Colwich,2336,ENG,England,232,GB,"United Kingdom",52.78764000,-1.98206000,Q3036914
49079,Colyton,2336,ENG,England,232,GB,"United Kingdom",50.74006000,-3.07021000,Q1113106
49080,"Combe Martin",2336,ENG,England,232,GB,"United Kingdom",51.19873000,-4.02343000,Q1225823
49082,Comberton,2336,ENG,England,232,GB,"United Kingdom",52.18709000,0.01905000,Q2854248
49083,Compton,2336,ENG,England,232,GB,"United Kingdom",51.02385000,-1.33713000,Q24651806
49084,"Compton Martin",2336,ENG,England,232,GB,"United Kingdom",51.31056000,-2.65528000,Q2311927
49086,Congleton,2336,ENG,England,232,GB,"United Kingdom",53.16314000,-2.21253000,Q1125738
49087,Congresbury,2336,ENG,England,232,GB,"United Kingdom",51.37135000,-2.81018000,Q1975999
49088,Coningsby,2336,ENG,England,232,GB,"United Kingdom",53.10598000,-0.17595000,Q2008682
49089,Conisbrough,2336,ENG,England,232,GB,"United Kingdom",53.48188000,-1.23214000,Q2734822
49092,Consett,2336,ENG,England,232,GB,"United Kingdom",54.85404000,-1.83160000,Q2080364
49094,Cookham,2336,ENG,England,232,GB,"United Kingdom",51.55936000,-0.70810000,Q1129607
49095,Cookley,2336,ENG,England,232,GB,"United Kingdom",52.31667000,1.45000000,Q3544583
49097,Cople,2336,ENG,England,232,GB,"United Kingdom",52.12342000,-0.38933000,Q1520369
49098,Copmanthorpe,2336,ENG,England,232,GB,"United Kingdom",53.91419000,-1.14209000,Q4657176
49099,Copplestone,2336,ENG,England,232,GB,"United Kingdom",50.81073000,-3.74607000,Q3542966
49100,Coppull,2336,ENG,England,232,GB,"United Kingdom",53.62527000,-2.65854000,Q2049676
49101,Copthorne,2336,ENG,England,232,GB,"United Kingdom",51.13929000,-0.11742000,Q5169012
49102,Corbridge,2336,ENG,England,232,GB,"United Kingdom",54.97365000,-2.01798000,Q122953
49103,Corby,2336,ENG,England,232,GB,"United Kingdom",52.49637000,-0.68939000,Q994925
49104,"Corby Glen",2336,ENG,England,232,GB,"United Kingdom",52.81262000,-0.51817000,Q994925
49105,"Corfe Castle",2336,ENG,England,232,GB,"United Kingdom",50.63947000,-2.05672000,Q13341461
49106,Cornholme,2336,ENG,England,232,GB,"United Kingdom",53.73230000,-2.13851000,Q5171740
49107,Cornwall,2336,ENG,England,232,GB,"United Kingdom",50.41667000,-4.75000000,Q22338583
